id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1607884170835132417,1607884170835132417,2022-12-28 06:40:34 SE Asia Standard Time,2022-12-28,06:40:34,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Mau tanya dong kakak2, kalau semisal kita udah nentuin jumlah responden sebanyak 95 orang, tapi ternyata yang mengisi lebih dari jumlah awal itu nanti kelebihannya ikut dianalisis juga atau yang dianalisis cuma 95 orang aja ya? Terima kasih 🙏",in,[],[],[],5,0,1,[],[],https://twitter.com/collegemenfess/status/1607884170835132417,False,,0,,,,,,,,[],,,,
1607884082188529664,1607884082188529664,2022-12-28 06:40:12 SE Asia Standard Time,2022-12-28,06:40:12,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,halo kakak-kakak sekalian disini ada yang sudah pernah magang semester 3? mau tanya-tanya tata caranya [cm],in,[],[],[],2,0,5,[],[],https://twitter.com/collegemenfess/status/1607884082188529664,False,,0,,,,,,,,[],,,,
1607883847525617665,1607883847525617665,2022-12-28 06:39:16 SE Asia Standard Time,2022-12-28,06:39:16,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[Cm] kalian udah pada libur apa belum, hari ini mau ngapain? Bingung gaes 🤣",in,[],[],[],2,0,3,[],[],https://twitter.com/collegemenfess/status/1607883847525617665,False,,0,,,,,,,,[],,,,
1607883606646747137,1607883606646747137,2022-12-28 06:38:19 SE Asia Standard Time,2022-12-28,06:38:19,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] hari ini harusnya sender ke kampus buat ketemu dosen, tapi semalem ada info kalo di kampus lagi WFH. kira kira ini chatnya udah sopan blm? makasihhh  https://t.co/EGvnPsXwMD",in,[],[],['https://pbs.twimg.com/media/FlBZnolagAAFbjF.jpg'],2,2,23,[],[],https://twitter.com/collegemenfess/status/1607883606646747137,False,,1,https://pbs.twimg.com/media/FlBZnolagAAFbjF.jpg,,,,,,,[],,,,
1607882642086842368,1607882642086842368,2022-12-28 06:34:29 SE Asia Standard Time,2022-12-28,06:34:29,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[Cm] Ini dosenku belum bikin project pengumpulan tugas UAS dari sebelum natal, udah diingetin totalnya 3 kali di hari yang berbeda :"" kemarin udah diingetin 1 kali. Kalau besok diingetin lagi sopan ga ya? :"" masalahnya udah masuk hari libur semester",in,[],[],[],1,0,2,[],[],https://twitter.com/collegemenfess/status/1607882642086842368,False,,0,,,,,,,,[],,,,
1607881945937227776,1607881945937227776,2022-12-28 06:31:43 SE Asia Standard Time,2022-12-28,06:31:43,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] ada yg punya ebook gizi ga?,in,[],[],[],0,0,5,[],[],https://twitter.com/collegemenfess/status/1607881945937227776,False,,0,,,,,,,,[],,,,
1607881335426936832,1607881335426936832,2022-12-28 06:29:18 SE Asia Standard Time,2022-12-28,06:29:18,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"disini apa ada yang punya ebook tentang agresif, agresivitas atau perilaku agresif? kalo ada rep aja ya nanti di DM thank you✨ [cm]",in,[],[],[],1,0,2,[],[],https://twitter.com/collegemenfess/status/1607881335426936832,False,,0,,,,,,,,[],,,,
1607880903166152704,1607880903166152704,2022-12-28 06:27:34 SE Asia Standard Time,2022-12-28,06:27:34,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] sender uas terakhir minta doanya biar dipermudah dan lancar karna dosennya tegas bgt, kalian yang belum uas semoga juga selalu dipermudah dan dilancarkan yaaa ✨✨",in,[],[],[],0,0,3,[],[],https://twitter.com/collegemenfess/status/1607880903166152704,False,,0,,,,,,,,[],,,,
1607880103069114369,1607880103069114369,2022-12-28 06:24:24 SE Asia Standard Time,2022-12-28,06:24:24,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[Cm] main qrt random tentang perkuliahan yuk yuk,in,[],[],[],33,0,32,[],[],https://twitter.com/collegemenfess/status/1607880103069114369,False,,0,,,,,,,,[],,,,
1607879697505083393,1607879697505083393,2022-12-28 06:22:47 SE Asia Standard Time,2022-12-28,06:22:47,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] buat anak psikologi pas kalian bikin blueprint tuh gmn sih cara kalian buat matokin target skala kalian? emg ada ya teori yg bilang klo hrs brp brp gitu??,in,[],[],[],8,0,2,[],[],https://twitter.com/collegemenfess/status/1607879697505083393,False,,0,,,,,,,,[],,,,
